2025-08-09 19:33:29.309 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:14:07.162 AUDIT INFO  projectSaveAs | fddtest-774597bb-7ed1-4651-974c-0f7df022b40812416390840653011733.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fddtest-774597bb-7ed1-4651-974c-0f7df022b40812416390840653011733.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:14:07.383 AUDIT INFO  projectSave | fddtest-774597bb-7ed1-4651-974c-0f7df022b40812416390840653011733.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fddtest-774597bb-7ed1-4651-974c-0f7df022b40812416390840653011733.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:14:07.497 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:14:07.641 AUDIT INFO  projectSaveAs | fdd-open-silent15820504477155354935.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-open-silent15820504477155354935.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:14:07.642 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 22:14:07.687 AUDIT INFO  projectOpen | fdd-open-silent15820504477155354935.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-open-silent15820504477155354935.fddi action=openProject node= auditAction=projectOpen
2025-08-09 22:14:07.816 AUDIT INFO  projectSave | fdd-open-silent15820504477155354935.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-open-silent15820504477155354935.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:14:07.816 AUDIT INFO  asyncSuccess | Saving | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-open-silent15820504477155354935.fddi action=async:Saving node=New Program auditAction=asyncSuccess
2025-08-09 22:14:07.859 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:14:07.867 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:14:07.873 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:14:08.035 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:14:08.041 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:14:08.160 AUDIT INFO  projectSaveAs | fdd-mru-order-a2258004870282218819.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-a2258004870282218819.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:14:08.161 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 22:14:08.296 AUDIT INFO  projectSaveAs | fdd-mru-order-b17915798414414043846.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-b17915798414414043846.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:14:08.297 AUDIT INFO  asyncSuccess | Saving As | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-a2258004870282218819.fddi action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 22:14:08.349 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:14:08.923 AUDIT INFO  commandExecute | Move P to B | project= action=execute:Move P to B node=X auditAction=commandExecute
2025-08-09 22:14:08.923 AUDIT INFO  nodeMove | Move P to B | project= action=execute:Move P to B node=X auditAction=nodeMove
2025-08-09 22:14:08.923 AUDIT INFO  commandUndo | Move P to B | project= action=undo:Move P to B node=X auditAction=commandUndo
2025-08-09 22:14:08.923 AUDIT INFO  commandRedo | Move P to B | project= action=redo:Move P to B node=X auditAction=commandRedo
2025-08-09 22:22:17.837 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:22:17.957 AUDIT INFO  projectOpen | fdd-regression-existing16527663527086008791.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing16527663527086008791.fddi action=openProject node= auditAction=projectOpen
2025-08-09 22:22:18.112 AUDIT INFO  projectSave | fdd-regression-existing16527663527086008791.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing16527663527086008791.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:22:18.116 AUDIT INFO  asyncSuccess | Saving | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing16527663527086008791.fddi action=async:Saving node=Existing Program auditAction=asyncSuccess
2025-08-09 22:22:18.153 AUDIT INFO  projectOpen | fdd-regression-existing16527663527086008791.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing16527663527086008791.fddi action=openProject node= auditAction=projectOpen
2025-08-09 22:22:34.485 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:22:34.503 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:22:34.717 AUDIT INFO  projectSaveAs | fdd-mru-a14982823325851953448.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a14982823325851953448.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:22:34.721 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 22:22:34.851 AUDIT INFO  projectSave | fdd-mru-a14982823325851953448.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a14982823325851953448.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:22:34.851 AUDIT INFO  asyncSuccess | Saving | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a14982823325851953448.fddi action=async:Saving node=New Program auditAction=asyncSuccess
2025-08-09 22:22:34.895 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:22:35.072 AUDIT INFO  projectSaveAs | fddtest-06ab7965-ec47-413d-8bbf-923677edcbe7300795990989151287.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fddtest-06ab7965-ec47-413d-8bbf-923677edcbe7300795990989151287.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:22:35.296 AUDIT INFO  projectSave | fddtest-06ab7965-ec47-413d-8bbf-923677edcbe7300795990989151287.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fddtest-06ab7965-ec47-413d-8bbf-923677edcbe7300795990989151287.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:22:35.419 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:22:35.581 AUDIT INFO  projectSaveAs | fdd-open-silent17626364745288558415.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-open-silent17626364745288558415.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:22:35.582 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 22:22:35.611 AUDIT INFO  projectOpen | fdd-open-silent17626364745288558415.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-open-silent17626364745288558415.fddi action=openProject node= auditAction=projectOpen
2025-08-09 22:22:35.733 AUDIT INFO  projectSave | fdd-open-silent17626364745288558415.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-open-silent17626364745288558415.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:22:35.734 AUDIT INFO  asyncSuccess | Saving | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-open-silent17626364745288558415.fddi action=async:Saving node=New Program auditAction=asyncSuccess
2025-08-09 22:22:35.782 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:22:35.788 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:22:35.794 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:22:35.959 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:22:35.967 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:22:36.098 AUDIT INFO  projectSaveAs | fdd-mru-order-a18374154219366464047.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-a18374154219366464047.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:22:36.099 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 22:22:36.242 AUDIT INFO  projectSaveAs | fdd-mru-order-b12527463482886016336.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-b12527463482886016336.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:22:36.243 AUDIT INFO  asyncSuccess | Saving As | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-a18374154219366464047.fddi action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 22:22:36.281 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:22:36.294 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:22:36.303 AUDIT INFO  projectOpen | fdd-regression-existing12625349667673122503.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing12625349667673122503.fddi action=openProject node= auditAction=projectOpen
2025-08-09 22:22:36.446 AUDIT INFO  projectSave | fdd-regression-existing12625349667673122503.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing12625349667673122503.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:22:36.446 AUDIT INFO  asyncSuccess | Saving | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing12625349667673122503.fddi action=async:Saving node=Existing Program auditAction=asyncSuccess
2025-08-09 22:22:36.494 AUDIT INFO  projectOpen | fdd-regression-existing12625349667673122503.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing12625349667673122503.fddi action=openProject node= auditAction=projectOpen
2025-08-09 22:22:37.076 AUDIT INFO  commandExecute | Move P to B | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing12625349667673122503.fddi action=execute:Move P to B node=Existing Program auditAction=commandExecute
2025-08-09 22:22:37.076 AUDIT INFO  nodeMove | Move P to B | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing12625349667673122503.fddi action=execute:Move P to B node=Existing Program auditAction=nodeMove
2025-08-09 22:22:37.077 AUDIT INFO  commandUndo | Move P to B | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing12625349667673122503.fddi action=undo:Move P to B node=Existing Program auditAction=commandUndo
2025-08-09 22:22:37.077 AUDIT INFO  commandRedo | Move P to B | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing12625349667673122503.fddi action=redo:Move P to B node=Existing Program auditAction=commandRedo
2025-08-09 22:33:31.579 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:33:31.672 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:33:31.694 AUDIT INFO  projectOpen | fdd-regression-existing5790395165978353759.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing5790395165978353759.fddi action=openProject node= auditAction=projectOpen
2025-08-09 22:33:31.850 AUDIT INFO  projectSave | fdd-regression-existing5790395165978353759.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing5790395165978353759.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:33:31.853 AUDIT INFO  asyncSuccess | Saving | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing5790395165978353759.fddi action=async:Saving node=Existing Program auditAction=asyncSuccess
2025-08-09 22:33:31.891 AUDIT INFO  projectOpen | fdd-regression-existing5790395165978353759.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing5790395165978353759.fddi action=openProject node= auditAction=projectOpen
2025-08-09 22:36:05.853 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:36:05.953 AUDIT INFO  projectOpen | fdd-deep-hierarchy15636914817014393003.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-deep-hierarchy15636914817014393003.fddi action=openProject node= auditAction=projectOpen
2025-08-09 22:36:06.099 AUDIT INFO  asyncCancelled | Saving | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-deep-hierarchy15636914817014393003.fddi action=async:Saving node=Deep Program auditAction=asyncCancelled
2025-08-09 22:39:56.228 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:39:56.326 AUDIT INFO  projectOpen | fdd-deep-hierarchy17677789023743161148.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-deep-hierarchy17677789023743161148.fddi action=openProject node= auditAction=projectOpen
2025-08-09 22:39:56.487 AUDIT INFO  projectSave | fdd-deep-hierarchy17677789023743161148.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-deep-hierarchy17677789023743161148.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:39:56.490 AUDIT INFO  asyncSuccess | Saving | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-deep-hierarchy17677789023743161148.fddi action=async:Saving node=Deep Program auditAction=asyncSuccess
2025-08-09 22:39:56.528 AUDIT INFO  projectOpen | fdd-deep-hierarchy17677789023743161148.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-deep-hierarchy17677789023743161148.fddi action=openProject node= auditAction=projectOpen
2025-08-09 22:40:14.571 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:40:14.660 AUDIT INFO  projectOpen | fdd-deep-hierarchy16904595243923731833.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-deep-hierarchy16904595243923731833.fddi action=openProject node= auditAction=projectOpen
2025-08-09 22:40:14.813 AUDIT INFO  projectSave | fdd-deep-hierarchy16904595243923731833.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-deep-hierarchy16904595243923731833.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:40:14.816 AUDIT INFO  asyncSuccess | Saving | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-deep-hierarchy16904595243923731833.fddi action=async:Saving node=Deep Program auditAction=asyncSuccess
2025-08-09 22:40:14.854 AUDIT INFO  projectOpen | fdd-deep-hierarchy16904595243923731833.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-deep-hierarchy16904595243923731833.fddi action=openProject node= auditAction=projectOpen
2025-08-09 22:40:14.870 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:40:14.884 AUDIT INFO  projectOpen | fdd-regression-existing11761462070832966495.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing11761462070832966495.fddi action=openProject node= auditAction=projectOpen
2025-08-09 22:40:15.025 AUDIT INFO  projectSave | fdd-regression-existing11761462070832966495.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing11761462070832966495.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:40:15.025 AUDIT INFO  asyncSuccess | Saving | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing11761462070832966495.fddi action=async:Saving node=Existing Program auditAction=asyncSuccess
2025-08-09 22:40:15.070 AUDIT INFO  projectOpen | fdd-regression-existing11761462070832966495.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing11761462070832966495.fddi action=openProject node= auditAction=projectOpen
2025-08-09 22:41:29.073 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:41:29.091 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:41:29.316 AUDIT INFO  projectSaveAs | fdd-mru-a15361917201947621653.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a15361917201947621653.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:41:29.320 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 22:41:29.441 AUDIT INFO  projectSave | fdd-mru-a15361917201947621653.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a15361917201947621653.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:41:29.441 AUDIT INFO  asyncSuccess | Saving | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a15361917201947621653.fddi action=async:Saving node=New Program auditAction=asyncSuccess
2025-08-09 22:41:29.485 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:41:29.659 AUDIT INFO  projectSaveAs | fddtest-d8fe0713-4f4c-4879-bca8-995bd8fba26914327963157177690136.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fddtest-d8fe0713-4f4c-4879-bca8-995bd8fba26914327963157177690136.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:41:29.883 AUDIT INFO  projectSave | fddtest-d8fe0713-4f4c-4879-bca8-995bd8fba26914327963157177690136.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fddtest-d8fe0713-4f4c-4879-bca8-995bd8fba26914327963157177690136.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:41:29.995 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:41:30.136 AUDIT INFO  projectSaveAs | fdd-open-silent10516942177728787782.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-open-silent10516942177728787782.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:41:30.137 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 22:41:30.187 AUDIT INFO  projectOpen | fdd-open-silent10516942177728787782.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-open-silent10516942177728787782.fddi action=openProject node= auditAction=projectOpen
2025-08-09 22:41:30.314 AUDIT INFO  projectSave | fdd-open-silent10516942177728787782.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-open-silent10516942177728787782.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:41:30.315 AUDIT INFO  asyncSuccess | Saving | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-open-silent10516942177728787782.fddi action=async:Saving node=New Program auditAction=asyncSuccess
2025-08-09 22:41:30.356 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:41:30.364 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:41:30.370 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:41:30.535 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:41:30.544 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:41:30.676 AUDIT INFO  projectSaveAs | fdd-mru-order-a13013087817040834837.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-a13013087817040834837.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:41:30.677 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 22:41:30.807 AUDIT INFO  projectSaveAs | fdd-mru-order-b11479604687583443801.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-b11479604687583443801.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 22:41:30.809 AUDIT INFO  asyncSuccess | Saving As | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-a13013087817040834837.fddi action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 22:41:30.856 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:41:30.866 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:41:30.877 AUDIT INFO  projectOpen | fdd-deep-hierarchy4031167942551682979.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-deep-hierarchy4031167942551682979.fddi action=openProject node= auditAction=projectOpen
2025-08-09 22:41:31.021 AUDIT INFO  projectSave | fdd-deep-hierarchy4031167942551682979.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-deep-hierarchy4031167942551682979.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:41:31.022 AUDIT INFO  asyncSuccess | Saving | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-deep-hierarchy4031167942551682979.fddi action=async:Saving node=Deep Program auditAction=asyncSuccess
2025-08-09 22:41:31.065 AUDIT INFO  projectOpen | fdd-deep-hierarchy4031167942551682979.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-deep-hierarchy4031167942551682979.fddi action=openProject node= auditAction=projectOpen
2025-08-09 22:41:31.081 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 22:41:31.089 AUDIT INFO  projectOpen | fdd-regression-existing13353561670512843247.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing13353561670512843247.fddi action=openProject node= auditAction=projectOpen
2025-08-09 22:41:31.226 AUDIT INFO  projectSave | fdd-regression-existing13353561670512843247.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing13353561670512843247.fddi action=saveProject node= auditAction=projectSave
2025-08-09 22:41:31.226 AUDIT INFO  asyncSuccess | Saving | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing13353561670512843247.fddi action=async:Saving node=Existing Program auditAction=asyncSuccess
2025-08-09 22:41:31.274 AUDIT INFO  projectOpen | fdd-regression-existing13353561670512843247.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing13353561670512843247.fddi action=openProject node= auditAction=projectOpen
2025-08-09 22:41:31.851 AUDIT INFO  commandExecute | Move P to B | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing13353561670512843247.fddi action=execute:Move P to B node=Existing Program auditAction=commandExecute
2025-08-09 22:41:31.851 AUDIT INFO  nodeMove | Move P to B | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing13353561670512843247.fddi action=execute:Move P to B node=Existing Program auditAction=nodeMove
2025-08-09 22:41:31.851 AUDIT INFO  commandUndo | Move P to B | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing13353561670512843247.fddi action=undo:Move P to B node=Existing Program auditAction=commandUndo
2025-08-09 22:41:31.851 AUDIT INFO  commandRedo | Move P to B | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-regression-existing13353561670512843247.fddi action=redo:Move P to B node=Existing Program auditAction=commandRedo
